address;available;coordinates;free;name;number;open;ticket;total;type;updated_at
Pie de la Cruz - Rejas;15;[725348.881, 4372566.811];0;147_CALLE_PIE_DE_LA_CRUZ_CALLE_DE_LA_REJA;147;T;F;15;Point;29/06/2016 10:43
Peris y Valero - Salamanca;5;[726966.242, 4371473.377];13;149_AVDA. PERIS Y VALERO;149;T;F;20;Point;29/06/2016 10:43
Manuel Candela - Rodriguez de Cepeda;3;[727913.087, 4372032.997];22;150_DR. MANUEL CANDELA;150;T;F;25;Point;29/06/2016 10:43
Jerónimo Monsoriu - Alcalde Cano Coloma;12;[729083.914, 4371728.444];8;151_JERONIMO MONSORIU;151;T;F;20;Point;29/06/2016 10:43
Reina Doña María - Cádiz;1;[726034.021, 4371222.938];14;152_C/ LITERATO AZORÍN;152;T;T;15;Point;29/06/2016 10:43
Llano de la Zaidía - Doctor Olóriz;1;[725319.726, 4373672.6];23;153_C/ LLANO DE ZAIDA;153;T;F;24;Point;29/06/2016 10:43
Salamanca - Reina Doña Germana;12;[726849.289, 4371694.26];7;155_C/ SALAMANCA;155;T;F;20;Point;29/06/2016 10:43
Puerto Rico - Cuba;1;[725720.691, 4371218.14];13;156_C/ CUBA;156;T;F;15;Point;29/06/2016 10:43
Pérez Galdós - Marqués de Zenete;7;[724762.45, 4371533.357];12;157_AVENIDA_PEREZ_GALDOS;157;T;T;20;Point;29/06/2016 10:43
Doctor Lluch - Virgen del Sufragio;1;[729885.844, 4371977.616];14;158_DR.LLUNCH;158;T;F;15;Point;29/06/2016 10:43
Francisco Cubells - San José de la Vega;13;[729293.988, 4371599.114];3;159_FRANCISCO CUBELLS;159;T;F;17;Point;29/06/2016 10:43
Pavía - Espadán;1;[730141.246, 4372508.598];19;165_PAVIA 2;165;T;T;20;Point;29/06/2016 10:43
Albacete - Maluquer;4;[725009.401, 4371403.652];13;243_ALBACETE_ESQ_MALUQUER;243;T;T;18;Point;29/06/2016 10:43
Murta - Sant Eperit;3;[727150.755, 4374061.607];12;121_C_MURTA;121;T;F;15;Point;29/06/2016 10:43
Músico Hipólito Martínez - Diógenes López Mecho;3;[727560.986, 4373885.116];12;122_C_MÚSICO HIPÓLITO MARTÍNEZ;122;T;F;15;Point;29/06/2016 10:43
Albocácer - Vinaroz;0;[726623.813, 4374211.594];20;123_C_ALBOCACER;123;T;F;20;Point;29/06/2016 10:43
Camp del Turia - Corts Valencianes;5;[723443.17, 4374933.821];15;240_CAMP_DEL_TURIA_AVDA_CORTES_VALENCIANAS;240;T;F;20;Point;29/06/2016 10:43
Tres Cruces - Hospital General;25;[723099.271, 4372044.993];4;246_AVDA_TRES_CRUCES_ENTRADA_HOSPITAL_GENERAL;246;T;F;30;Point;29/06/2016 10:43
Tres Cruces - Segunda República Española;13;[723454.207, 4370990.489];1;249_AVDA_TRES_CRUCES_SEGUNDA_REPUBLICA_ESPAÑOLA;249;T;F;15;Point;29/06/2016 10:43
Azagador de Alboraya - Dolores Marqués;12;[726869.344, 4374310.996];13;124_C/ AZAGADOR DE ALBORAYA;124;T;T;25;Point;29/06/2016 10:43
Masquefa, 42 - 44;2;[727152.481, 4374451.727];12;125_C/ MASQUEFA;125;T;F;15;Point;29/06/2016 10:43
Alfahuir - José Chabas Bordehore;16;[727013.588, 4374825.945];4;126_C/ ALFAUIR;126;T;F;20;Point;29/06/2016 10:43
Alfahuir - Duque de Mandas;3;[726648.299, 4374536.718];16;127_C/ DUQUE DE MANDAS;127;T;F;20;Point;29/06/2016 10:43
Alfahuir - Peñiscola;7;[726387.768, 4374326.342];18;128_C/ ALFAUIR;128;T;T;25;Point;29/06/2016 10:43
Almazora - Benimuslem;3;[726190.306, 4374010.496];17;129_C_ALMAZORA;129;T;T;20;Point;29/06/2016 10:43
Convento Carmelitas - Alboraya;0;[726176.386, 4373706.014];15;130_C/ CONVENTO CARMELITAS;130;T;F;15;Point;29/06/2016 10:43
Alboraya - Flora;0;[726102.788, 4373416.677];20;131_C/ ALBORAYA;131;T;T;20;Point;29/06/2016 10:43
Valle de la Ballestera - Hospital Nueve de Octubre;19;[723526.821, 4373109.163];0;223_CALLE_VALLE_BALLESTERA_ESQ_PLAZA_POLICIA_LOCAL;223;T;T;20;Point;29/06/2016 10:43
Jorge Comin (Metge) - Terrateig;4;[723313.847, 4373326.321];15;224_PLAZA_JOSE_MONFORTE_TUDELA_ESQ_CALLE_HERNANDEZ;224;T;F;20;Point;29/06/2016 10:43
Padre Barranco - Carlos Ruano Llopis (Pintor);7;[723500.1, 4374169.24];11;225_CALLE_PADRE_BARRANCO_DESPUES_CALLE_BENIFAIRO;225;T;T;20;Point;29/06/2016 10:43
